Alaska,3,33,56,5,Jun 30,,,,,,,3,Dittman Research
Arizona,10,42,45,,Aug 22,,,,,10,,,Arizona State Univ.
Arkansas,6,47,48,1,Aug 22,,,,,6,,,Survey USA
California,55,51,42, ,Aug 26,,55,,,,,,Rasmussen
Colorado,9,47,47, ,Aug 19,,,,9,,,,Rasmussen
Connecticut,7,45,38,1,Aug 17,,7,,,,,,Quinnipiac Univ.
Delaware,3,55,42,3,(none),3,,,,,,,2000 Election
D.C.,3,86,9,5,(none),3,,,,,,,2000 Election
Florida,27,44,48,2,Aug 28,,,,,27,,,Strategic Vision (R)
Georgia,15,38,54,1,Aug 18,,,,,,,15,Strategic Vision
Hawaii,4,48,41,,Aug 3,,4,,,,,,SMS Research
Idaho,4,25,55,6,Jun 14,,,,,,,4,Greg Smith
Illinois,21,52,38,,Aug 21,21,,,,,,,Market Shares
Indiana,11,40,52, ,Aug 18,,,,,,,11,Bellwether Research
Iowa,7,47,47,2,Aug 28,,,,7,,,,Strategic Vision (R)
Kansas,6,36,56,,Jun 30,,,,,,,6,Survey USA
Kentucky,8,39,56,,Aug 15,,,,,,,8,Survey USA
Louisiana,9,36,52,,Jul 20,,,,,,,9,Market Research
Maine,4,49,44,,Aug 24,,4,,,,,,Survey USA
Maryland,10,53,42,,Aug 25,10,,,,,,,Survey USA
Massachusetts,12,56,30,3,Jul 28,12,,,,,,,Center for Public Opin.
Michigan,17,45,42,3,Aug 28,,,17,,,,,Strategic Vision (R)
Minnesota,10,47,46,1,Aug 28,,,10,,,,,Strategic Vision (R)
Mississippi,6,30,61,1,Apr 21,,,,,,,6,MS State Univ.
Missouri,11,44,46,,Aug 24,,,,,11,,,LA Times
Montana,3,33,53,6,May 26,,,,,,,3,Mason-Dixon
Nebraska,5,33,62,4,(none),,,,,,,5,2000 Election
Nevada,5,48,46,2,Aug 21,,,5,,,,,Zogby
New Hampshire,4,51,43,1,Aug 21,,4,,,,,,Zogby
New Jersey,15,49,39,4,Aug 23,15,,,,,,,Quinnipiac Univ.
New Mexico,5,50,44,1,Aug 21,,5,,,,,,Zogby
New York,31,56,37,,Aug 26,31,,,,,,,Rasmussen
North Carolina,15,45,51,,Aug 15,,,,,,15,,Survey USA
North Dakota,3,33,61,3,(none),,,,,,,3,2000 Election
Ohio,20,42,48,1,Aug 28,,,,,,20,,Strategic Vision (R)
Oklahoma,7,38,57, ,Aug 18,,,,,,,7,Survey USA
Oregon,7,54,43,2,Aug 21,7,,,,,,,Zogby
Pennsylvania,21,45,47,1,Aug 28,,,,,21,,,Strategic Vision (R)
Rhode Island,4,49,25,5,Jun 14,4,,,,,,,Brown Univ.
South Carolina,8,42,53, ,Aug 18,,,,,,,8,Survey USA
South Dakota,3,35,51,4,May 21,,,,,,,3,Zogby
Tennessee,11,50,48,0,Aug 21,,,11,,,,,Zogby
Texas,34,37,58,,Aug 22,,,,,,,34,Survey USA
Utah,5,22,67,3,May 13,,,,,,,5,Dan Jones
Vermont,3,51,36,4,May 5,3,,,,,,,Research 2000
Virginia,13,45,49,0,Aug 22,,,,,13,,,Survey USA
Washington,11,48,43,2,Aug 23,,11,,,,,,Strategic Vision (R)
West Virginia,5,42,49,2,Aug 21,,,,,,5,,Zogby
Wisconsin,10,46,48,2,Aug 28,,,,,10,,,Strategic Vision (R)
Wyoming,3,28,68,2,(none),,,,,,,3,2000 Election
Alaska,3,33,56,5,Jun 30,,,,,,,3,Dittman Research
Arizona,10,42,41,,Jul 18,,,10,,,,,Arizona State Univ.
Arkansas,6,45,47,2,Jul 23,,,,,6,,,Zogby
California,55,49,38,5,Jul 25,55,,,,,,,Survey USA
Colorado,9,43,48,3,Jun 18,,,,,,9,,Mason-Dixon
Connecticut,7,50,32,9,Jun 28,7,,,,,,,Quinnipiac Univ.
Delaware,3,55,42,3,(none),3,,,,,,,2000 Election
D.C.,3,86,9,5,(none),3,,,,,,,2000 Election
Florida,27,48,49,1,Jul 23,,,,,27,,,Zogby
Georgia,15,38,51,1,Jul 11,,,,,,,15,Strategic Vision
Hawaii,4,56,37,6,(none),4,,,,,,,2000 Election
Idaho,4,25,55,6,Jun 14,,,,,,,4,Greg Smith
Illinois,21,53,37,1,Jun 30,21,,,,,,,Rasmussen
Indiana,11,27,46,,Jul 12,,,,,,,11,Market Research Inf.
Iowa,7,46,46,2,Jul 28,,,,7,,,,American Res. Group
Kansas,6,36,56,,Jun 30,,,,,,,6,Survey USA
Kentucky,8,42,52,,Jul 26,,,,,,,8,Survey USA
Louisiana,9,36,52,,Jul 20,,,,,,,9,Market Research
Maine,4,46,45,5,Jun 30,,,4,,,,,Rasmussen
Maryland,10,53,39,,Jun 30,10,,,,,,,Rasmussen
Massachusetts,12,59,30,2,Jul 18,12,,,,,,,Suffolk University
Michigan,17,53,44,1,Jul 23,,17,,,,,,Zogby
Minnesota,10,47,47,2,Jul 24,,,,10,,,,Strategic Vision
Mississippi,6,30,61,1,Apr 21,,,,,,,6,MS State Univ.
Missouri,11,49,48,2,Jul 23,,,11,,,,,Zogby
Montana,3,33,53,6,May 26,,,,,,,3,Mason-Dixon
Nebraska,5,33,62,4,(none),,,,,,,5,2000 Election
Nevada,5,47,46,1,Jul 23,,,5,,,,,Zogby
New Hampshire,4,47,42,3,Jul 23,,4,,,,,,Zogby
New Jersey,15,42,41,6,Jul 26,,,15,,,,,Fairleigh Dickinson U.
New Mexico,5,52,42,1,Jul 23,5,,,,,,,Zogby
New York,31,51,29,,Jul 15,31,,,,,,,Siena Coll. Res. Inst.
North Carolina,15,44,51,,Jul 26,,,,,,15,,Survey USA
North Dakota,3,33,61,3,(none),,,,,,,3,2000 Election
Ohio,20,47,48,1,Jul 23,,,,,20,,,Zogby
Oklahoma,7,35,59,,Jul 12,,,,,,,7,Consumer Logic
Oregon,7,52,43,1,Jul 23,,7,,,,,,Zogby
Pennsylvania,21,52,45,1,Jul 23,,21,,,,,,Zogby
